week_start,Bags Filled and Collected,Servitudes Cleaned,Stormwater Drains Cleaned,Stormwater Bags Filled
2025-08-01,750,,,
2025-08-08,,,,
2025-08-11,274,,,
2025-08-18,297,,,
2025-08-25,337,,,
2025-09-01,366,,,
2025-09-08,347,,,
2025-09-15,348,,,
2025-09-22,263,,,
2025-09-29,348,,,
2025-10-06,306,,,
2025-10-13,334,,,
2025-10-20,307,,,
2025-10-27,371,,,
2025-11-03,389,,,
2025-11-10,388,,,
2025-11-17,446,,,
2025-11-24,369,,,
2025-12-01,298,,,
2025-12-08,370,,,
2025-12-15,507,,,
2025-12-22,221,,,
2025-12-29,268,,,
2026-01-05,363,,,
2026-01-12,360,2,,
2026-01-19,293,0,0,
2026-01-26,315,0,2,
2026-02-02,238,0,14,116
2026-02-09,231,0,29,176
2026-02-16,187,1,19,110
2026-02-23,228,0,19,116
2026-03-02,207,0,7,92
