week_start,Calls Received,WhatsApps Received
2025-08-01,,
2025-08-08,,
2025-08-11,,
2025-08-18,,
2025-08-25,,
2025-09-01,,
2025-09-08,,
2025-09-15,,
2025-09-22,,
2025-09-29,,
2025-10-06,,
2025-10-13,,
2025-10-20,,
2025-10-27,28,6
2025-11-03,13,4
2025-11-10,28,25
2025-11-17,30,14
2025-11-24,22,17
2025-12-01,14,8
2025-12-08,16,7
2025-12-15,7,12
2025-12-22,8,15
2025-12-29,16,9
2026-01-05,10,12
2026-01-12,17,9
2026-01-19,18,14
2026-01-26,8,13
2026-02-02,6,15
2026-02-09,16,11
2026-02-16,20,21
2026-02-23,17,18
2026-03-02,17,13
