week_start,Jutland Park,Maynard Park,Tuin Plein,Gordon Street Verge,Wembley Square Verge,Dunkley Square Verge,Glynn Street Verge
2025-08-01,,,,,,,
2025-08-08,,,,,,,
2025-08-11,,,,,,,
2025-08-18,,,,,,,
2025-08-25,,,,,,,
2025-09-01,,,,,,,
2025-09-08,,,,,,,
2025-09-15,,,,,,,
2025-09-22,,,,,,,
2025-09-29,,,,,,,
2025-10-06,,,,,,,
2025-10-13,,,,,,,
2025-10-20,,,,,,,
2025-10-27,,,,,,,
2025-11-03,24,8,,,,,
2025-11-10,15,2,,,,,
2025-11-17,10,6,,,,,
2025-11-24,27,1,,,,,
2025-12-01,4,1,,,,,
2025-12-08,5,1,,,,,
2025-12-15,6,0,,11,,,
2025-12-22,5,1,,0,,,
2025-12-29,10,1,,0,,,
2026-01-05,10,1,15,0,,,
2026-01-12,11,1,0,0,,,
2026-01-19,6,1,2,0,17,,
2026-01-26,6,1,0,0,0,,
2026-02-02,7,1,0,0,0,,
2026-02-09,7,1,0,0,0,,
2026-02-16,9,6,0,0,0,,
2026-02-23,8,1,0,0,0,10,10
2026-03-02,5,2,0,40,0,25,27
