week_start,Criminal Incidents,Arrests Made,Section 56 Notices,Section 341 Notices,Pro-active Actions
2025-08-01,,4,,,5
2025-08-08,,,,,
2025-08-11,2,1,,,8
2025-08-18,2,1,8,31,6
2025-08-25,1,1,9,40,2
2025-09-01,2,2,9,50,1
2025-09-08,7,2,9,48,1
2025-09-15,4,3,12,70,2
2025-09-22,2,1,13,48,1
2025-09-29,1,1,22,81,
2025-10-06,1,1,16,51,4
2025-10-13,1,0,44,71,7
2025-10-20,1,1,15,21,2
2025-10-27,0,0,10,29,3
2025-11-03,0,0,23,48,
2025-11-10,1,0,17,57,1
2025-11-17,2,2,19,39,
2025-11-24,2,1,25,22,
2025-12-01,1,0,31,71,
2025-12-08,1,0,21,49,1
2025-12-15,4,1,34,35,1
2025-12-22,5,1,,,2
2025-12-29,1,0,3,18,1
2026-01-05,2,0,11,45,2
2026-01-12,1,0,37,40,2
2026-01-19,2,1,18,45,1
2026-01-26,4,1,17,37,0
2026-02-02,2,0,37,42,1
2026-02-09,3,1,45,43,1
2026-02-16,3,0,7,48,0
2026-02-23,5,3,5,47,1
2026-03-02,0,0,21,53,0
