kind,source_type,source_index,source_range,week_start,week_end,dedupe_key,kept,note
dedupe,title_line,47552,10 - 16 November 2025,2025-11-10,2025-11-16,2025-11-10|2025-11-16,no,replaced_by_later_occurrence
dedupe,title_line,50539,27 October - 2 November 2025[e][f],2025-10-27,2025-11-02,2025-10-27|2025-11-02,no,replaced_by_later_occurrence
dedupe,title_line,52818,3 - 9 November 2025[g][h][i],2025-11-03,2025-11-09,2025-11-03|2025-11-09,no,replaced_by_later_occurrence
dedupe,from_line,50638,27th of October to the 2nd of November 2025,2025-10-27,2025-11-02,2025-10-27|2025-11-02,no,replaced_by_later_occurrence
dedupe,title_line,55467,27 October - 2 November 2025[j][k],2025-10-27,2025-11-02,2025-10-27|2025-11-02,no,replaced_by_later_occurrence
dedupe,title_line,57748,20 - 26 October 2025,2025-10-20,2025-10-26,2025-10-20|2025-10-26,no,replaced_by_later_occurrence
dedupe,title_line,60259,13 - 19 October 2025,2025-10-13,2025-10-19,2025-10-13|2025-10-19,no,replaced_by_later_occurrence
dedupe,title_line,62373,06 - 12 October 2025,2025-10-06,2025-10-12,2025-10-06|2025-10-12,no,replaced_by_later_occurrence
final_reported,deduped,,,2025-08-01,2025-08-08,2025-08-01|2025-08-08,yes,reported
final_reported,deduped,,,2025-08-11,2025-08-18,2025-08-11|2025-08-18,yes,reported
final_reported,deduped,,,2025-08-18,2025-08-25,2025-08-18|2025-08-25,yes,reported
final_reported,deduped,,,2025-08-25,2025-08-31,2025-08-25|2025-08-31,yes,reported
final_reported,deduped,,,2025-09-01,2025-09-07,2025-09-01|2025-09-07,yes,reported
final_reported,deduped,,,2025-09-08,2025-09-14,2025-09-08|2025-09-14,yes,reported
final_reported,deduped,,,2025-09-15,2025-09-21,2025-09-15|2025-09-21,yes,reported
final_reported,deduped,,,2025-09-22,2025-09-28,2025-09-22|2025-09-28,yes,reported
final_reported,deduped,,,2025-09-29,2025-10-05,2025-09-29|2025-10-05,yes,reported
final_reported,deduped,,,2025-10-06,2025-10-12,2025-10-06|2025-10-12,yes,reported
final_reported,deduped,,,2025-10-13,2025-10-19,2025-10-13|2025-10-19,yes,reported
final_reported,deduped,,,2025-10-20,2025-10-26,2025-10-20|2025-10-26,yes,reported
final_reported,deduped,,,2025-10-27,2025-11-02,2025-10-27|2025-11-02,yes,reported
final_reported,deduped,,,2025-11-03,2025-11-09,2025-11-03|2025-11-09,yes,reported
final_reported,deduped,,,2025-11-10,2025-11-16,2025-11-10|2025-11-16,yes,reported
final_reported,deduped,,,2025-11-17,2025-11-23,2025-11-17|2025-11-23,yes,reported
final_reported,deduped,,,2025-11-24,2025-11-30,2025-11-24|2025-11-30,yes,reported
final_reported,deduped,,,2025-12-01,2025-12-07,2025-12-01|2025-12-07,yes,reported
final_reported,deduped,,,2025-12-08,2025-12-14,2025-12-08|2025-12-14,yes,reported
final_reported,deduped,,,2025-12-15,2025-12-21,2025-12-15|2025-12-21,yes,reported
final_reported,deduped,,,2025-12-22,2025-12-28,2025-12-22|2025-12-28,yes,reported
final_reported,deduped,,,2025-12-29,2026-01-04,2025-12-29|2026-01-04,yes,reported
final_reported,deduped,,,2026-01-05,2026-01-11,2026-01-05|2026-01-11,yes,reported
final_reported,deduped,,,2026-01-12,2026-01-18,2026-01-12|2026-01-18,yes,reported
final_reported,deduped,,,2026-01-19,2026-01-25,2026-01-19|2026-01-25,yes,reported
final_reported,deduped,,,2026-01-26,2026-02-01,2026-01-26|2026-02-01,yes,reported
final_reported,deduped,,,2026-02-02,2026-02-08,2026-02-02|2026-02-08,yes,reported
final_reported,deduped,,,2026-02-09,2026-02-15,2026-02-09|2026-02-15,yes,reported
generated_missing,generated,,,2025-08-08,2025-08-14,2025-08-08|2025-08-14,yes,gap_between_reports
generated_missing,generated,,,2026-02-16,2026-02-22,2026-02-16|2026-02-22,yes,gap_after_latest_report
quality_check,derived,,,2025-08-01,2025-08-08,2025-08-01|2025-08-08,yes,missing_core=criminal_incidents;incidents=2
quality_check,derived,,,2025-08-11,2025-08-18,2025-08-11|2025-08-18,yes,missing_core=none;incidents=3
quality_check,derived,,,2025-08-18,2025-08-25,2025-08-18|2025-08-25,yes,missing_core=none;incidents=3
quality_check,derived,,,2025-08-25,2025-08-31,2025-08-25|2025-08-31,yes,missing_core=none;incidents=3
quality_check,derived,,,2025-09-01,2025-09-07,2025-09-01|2025-09-07,yes,missing_core=none;incidents=2
quality_check,derived,,,2025-09-08,2025-09-14,2025-09-08|2025-09-14,yes,missing_core=none;incidents=7
quality_check,derived,,,2025-09-15,2025-09-21,2025-09-15|2025-09-21,yes,missing_core=none;incidents=4
quality_check,derived,,,2025-09-22,2025-09-28,2025-09-22|2025-09-28,yes,missing_core=none;incidents=2
quality_check,derived,,,2025-09-29,2025-10-05,2025-09-29|2025-10-05,yes,missing_core=proactive_actions;incidents=1
quality_check,derived,,,2025-10-06,2025-10-12,2025-10-06|2025-10-12,yes,missing_core=none;incidents=1
quality_check,derived,,,2025-10-13,2025-10-19,2025-10-13|2025-10-19,yes,missing_core=none;incidents=1
quality_check,derived,,,2025-10-20,2025-10-26,2025-10-20|2025-10-26,yes,missing_core=none;incidents=1
quality_check,derived,,,2025-10-27,2025-11-02,2025-10-27|2025-11-02,yes,missing_core=none;incidents=0
quality_check,derived,,,2025-11-03,2025-11-09,2025-11-03|2025-11-09,yes,missing_core=proactive_actions;incidents=0
quality_check,derived,,,2025-11-10,2025-11-16,2025-11-10|2025-11-16,yes,missing_core=none;incidents=1
quality_check,derived,,,2025-11-17,2025-11-23,2025-11-17|2025-11-23,yes,missing_core=proactive_actions;incidents=2
quality_check,derived,,,2025-11-24,2025-11-30,2025-11-24|2025-11-30,yes,missing_core=proactive_actions;incidents=2
quality_check,derived,,,2025-12-01,2025-12-07,2025-12-01|2025-12-07,yes,missing_core=proactive_actions;incidents=1
quality_check,derived,,,2025-12-08,2025-12-14,2025-12-08|2025-12-14,yes,missing_core=none;incidents=1
quality_check,derived,,,2025-12-15,2025-12-21,2025-12-15|2025-12-21,yes,missing_core=none;incidents=4
quality_check,derived,,,2025-12-22,2025-12-28,2025-12-22|2025-12-28,yes,missing_core=none;incidents=5
quality_check,derived,,,2025-12-29,2026-01-04,2025-12-29|2026-01-04,yes,missing_core=none;incidents=1
quality_check,derived,,,2026-01-05,2026-01-11,2026-01-05|2026-01-11,yes,missing_core=none;incidents=2
quality_check,derived,,,2026-01-12,2026-01-18,2026-01-12|2026-01-18,yes,missing_core=none;incidents=1
quality_check,derived,,,2026-01-19,2026-01-25,2026-01-19|2026-01-25,yes,missing_core=none;incidents=2
quality_check,derived,,,2026-01-26,2026-02-01,2026-01-26|2026-02-01,yes,missing_core=none;incidents=4
quality_check,derived,,,2026-02-02,2026-02-08,2026-02-02|2026-02-08,yes,missing_core=none;incidents=2
quality_check,derived,,,2026-02-09,2026-02-15,2026-02-09|2026-02-15,yes,missing_core=none;incidents=3
